[
((0, 0, 0), (6.123233995736766e-17, 0.0, 1.0), 0.95),
((6.123233995736766e-17, 0.0, 1.0), (1.2246467991473532e-16, 0.0, 2.0), 0.95),
((1.2246467991473532e-16, 0.0, 2.0), (1.8369701987210297e-16, 0.0, 3.0), 0.9025),
((1.8369701987210297e-16, 0.0, 3.0), (2.4492935982947064e-16, 0.0, 4.0), 0.9025),
((2.4492935982947064e-16, 0.0, 4.0), (3.061616997868383e-16, 0.0, 5.0), 0.8573749999999999),
((3.061616997868383e-16, 0.0, 5.0), (3.67394039744206e-16, 0.0, 6.0), 0.8573749999999999),
((3.67394039744206e-16, 0.0, 6.0), (4.2862637970157366e-16, 0.0, 7.0), 0.8145062499999999),
((4.2862637970157366e-16, 0.0, 7.0), (4.898587196589413e-16, 0.0, 8.0), 0.8145062499999999),
((4.898587196589413e-16, 0.0, 8.0), (5.51091059616309e-16, 0.0, 9.0), 0.7737809374999999),
((5.51091059616309e-16, 0.0, 9.0), (6.123233995736766e-16, 0.0, 10.0), 0.7737809374999999),
((6.123233995736766e-16, 0.0, 10.0), (6.714692981426101e-16, 0.25881904510252074, 10.965925826289068), 0.6634204312890623),
((6.714692981426101e-16, 0.25881904510252074, 10.965925826289068), (7.306151967115436e-16, 0.5176380902050415, 11.931851652578136), 0.6634204312890623),
((7.306151967115436e-16, 0.5176380902050415, 11.931851652578136), (7.897610952804771e-16, 0.7764571353075622, 12.897777478867203), 0.6302494097246091),
((7.897610952804771e-16, 0.7764571353075622, 12.897777478867203), (8.489069938494105e-16, 1.035276180410083, 13.863703305156271), 0.6302494097246091),
((8.489069938494105e-16, 1.035276180410083, 13.863703305156271), (-0.019605394281332497, 1.3406121255410857, 14.81574615562364), 0.5133420832795047),
((-0.019605394281332497, 1.3406121255410857, 14.81574615562364), (-0.03921078856266584, 1.6459480706720884, 15.767789006091007), 0.5133420832795047),
((-0.03921078856266584, 1.6459480706720884, 15.767789006091007), (-0.07836784010236174, 1.9969640112296103, 16.70333939745923), 0.46329123015975293),
((-0.07836784010236174, 1.9969640112296103, 16.70333939745923), (-0.11752489164205764, 2.3479799517871323, 17.638889788827456), 0.46329123015975293),
((-0.11752489164205764, 2.3479799517871323, 17.638889788827456), (-0.17612627368361905, 2.7437137774769242, 18.555383442503103), 0.41812033521917696),
((-0.17612627368361905, 2.7437137774769242, 18.555383442503103), (-0.23472765572518045, 3.1394476031667162, 19.47187709617875), 0.41812033521917696),
((-0.23472765572518045, 3.1394476031667162, 19.47187709617875), (-0.3126127459537636, 3.5788146350796834, 20.366801966761795), 0.37735360253530714),
((-0.3126127459537636, 3.5788146350796834, 20.366801966761795), (-0.39049783618234674, 4.018181666992651, 21.26172683734484), 0.37735360253530714),
((-0.39049783618234674, 4.018181666992651, 21.26172683734484), (-0.4874531569793613, 4.499977630634348, 22.132629997970472), 0.34056162628811465),
